id,condition,alpha,prob_inc_base,prob_inc_clamp,delta_prob_inc,logprob_inc_base,logprob_inc_clamp,delta_logprob_inc,innov_mass_base,innov_mass_clamp,delta_mass
1_1,safe,0.5,9.223470110117275e-06,6.205049602300743e-05,5.282702591289016e-05,-18.875,-20.375,-1.5,0.000247955322265625,1.367880031466484e-09,-0.00024795395438559353
1_1,safe,1.0,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,safe,1.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,random,0.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,2.942979335784912e-07,-0.0002476610243320465
1_1,random,1.0,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,2.980232238769531e-07,-0.00024765729904174805
1_1,random,1.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,neutral,0.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,neutral,1.0,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,neutral,1.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_2,safe,0.5,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-22.0,-1.0,0.0003681182861328125,5.238689482212067e-09,-0.0003681130474433303
1_2,safe,1.0,6.540437226933636e-06,0.0006263341581094201,0.0006197937208824864,-21.0,-19.625,1.375,0.0003681182861328125,8.866190910339355e-07,-0.00036723166704177856
1_2,safe,1.5,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,random,0.5,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.23289155960083e-07,-0.0003672949969768524
1_2,random,1.0,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,random,1.5,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,neutral,0.5,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,neutral,1.0,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,neutral,1.5,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_3,safe,0.5,1.5903378336002657e-06,6.96225625013837e-06,5.371918416538104e-06,-13.9375,-17.5,-3.5625,0.00064849853515625,5.384208634495735e-09,-0.0006484931509476155
1_3,safe,1.0,1.5903378336002657e-06,8.750299760661308e-05,8.591265977301282e-05,-13.9375,-13.625,0.3125,0.00064849853515625,5.066394805908203e-07,-0.0006479918956756592
1_3,safe,1.5,1.5903378336002657e-06,0.0001195985780502316,0.00011800824021663133,-13.9375,-13.0625,0.875,0.00064849853515625,5.140900611877441e-07,-0.0006479844450950623
1_3,random,0.5,1.5903378336002657e-06,0.00018522574326531078,0.0001836354054317105,-13.9375,-12.6875,1.25,0.00064849853515625,5.140900611877441e-07,-0.0006479844450950623
1_3,random,1.0,1.5903378336002657e-06,0.00018522574326531078,0.0001836354054317105,-13.9375,-12.6875,1.25,0.00064849853515625,5.140900611877441e-07,-0.0006479844450950623
1_3,random,1.5,1.5903378336002657e-06,0.00018522574326531078,0.0001836354054317105,-13.9375,-12.6875,1.25,0.00064849853515625,5.140900611877441e-07,-0.0006479844450950623
1_3,neutral,0.5,1.5903378336002657e-06,0.00018522574326531078,0.0001836354054317105,-13.9375,-12.6875,1.25,0.00064849853515625,5.140900611877441e-07,-0.0006479844450950623
