id,mode,condition,alpha,prob_inc_base,prob_inc_clamp,delta_prob_inc,logprob_inc_base,logprob_inc_clamp,delta_logprob_inc,innov_mass_base,innov_mass_clamp,delta_mass
2672_2,cap,random,1.4,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,cap,random,1.5,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,cap,neutral,0.2,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,cap,neutral,0.4,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,cap,neutral,0.6,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,cap,neutral,0.8,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,cap,neutral,1.0,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,cap,neutral,1.2,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,cap,neutral,1.4,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,cap,neutral,1.5,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,safe,0.2,8.876221570978816e-08,1.9293013798385025e-07,1.041679222740621e-07,-16.375,-17.125,-0.75,0.00011491775512695312,1.6916601452976465e-10,-0.0001149175859609386
2672_2,scale,safe,0.4,8.876221570978816e-08,6.526739438426098e-07,5.639117281328216e-07,-16.375,-15.625,0.75,0.00011491775512695312,2.342858351767063e-09,-0.00011491541226860136
2672_2,scale,safe,0.6,8.876221570978816e-08,2.2959191445352874e-06,2.207156928825499e-06,-16.375,-14.4375,1.9375,0.00011491775512695312,3.306195139884949e-08,-0.00011488469317555428
2672_2,scale,safe,0.8,8.876221570978816e-08,6.8543172116333405e-06,6.765554995923553e-06,-16.375,-13.6875,2.6875,0.00011491775512695312,2.849847078323364e-07,-0.00011463277041912079
2672_2,scale,safe,1.0,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,safe,1.2,8.876221570978816e-08,3.0718185454758056e-05,3.062942323904827e-05,-16.375,-12.9375,3.4375,0.00011491775512695312,3.293156623840332e-06,-0.00011162459850311279
2672_2,scale,safe,1.4,8.876221570978816e-08,4.757645425657628e-05,4.7487692040866495e-05,-16.375,-12.75,3.625,0.00011491775512695312,6.139278411865234e-06,-0.00010877847671508789
2672_2,scale,safe,1.5,8.876221570978816e-08,5.562206273647034e-05,5.553330052076055e-05,-16.375,-12.6875,3.6875,0.00011491775512695312,8.106231689453125e-06,-0.0001068115234375
2672_2,scale,random,0.2,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,random,0.4,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,random,0.6,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,random,0.8,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,random,1.0,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,random,1.2,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,random,1.4,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,random,1.5,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,neutral,0.2,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,neutral,0.4,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,neutral,0.6,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,neutral,0.8,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,neutral,1.0,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,neutral,1.2,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,neutral,1.4,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_2,scale,neutral,1.5,8.876221570978816e-08,1.7778551863194697e-05,1.768978964748491e-05,-16.375,-13.1875,3.1875,0.00011491775512695312,1.2293457984924316e-06,-0.0001136884093284607
2672_3,cap,safe,0.2,3.1875652166284775e-06,1.8925148246037342e-05,1.5737583029408865e-05,-20.25,-27.375,-7.125,0.00022220611572265625,5.6843418860808015e-11,-0.0002222060588792374
2672_3,cap,safe,0.4,3.1875652166284775e-06,2.01456908529364e-05,1.6958125636307922e-05,-20.25,-24.625,-4.375,0.00022220611572265625,8.185452315956354e-10,-0.00022220529717742465
2672_3,cap,safe,0.6,3.1875652166284775e-06,3.321419494792514e-05,3.002662973129666e-05,-20.25,-22.25,-2.0,0.00022220611572265625,1.2689270079135895e-08,-0.00022219342645257711
2672_3,cap,safe,0.8,3.1875652166284775e-06,4.2647468185579125e-05,3.9459902968950645e-05,-20.25,-21.25,-1.0,0.00022220611572265625,1.0244548320770264e-07,-0.00022210367023944855
2672_3,cap,safe,1.0,3.1875652166284775e-06,6.605214485464791e-05,6.286457963801944e-05,-20.25,-20.5,-0.25,0.00022220611572265625,5.252659320831299e-07,-0.00022168084979057312
2672_3,cap,safe,1.2,3.1875652166284775e-06,7.484622751061124e-05,7.165866229398277e-05,-20.25,-20.5,-0.25,0.00022220611572265625,5.811452865600586e-07,-0.0002216249704360962
2672_3,cap,safe,1.4,3.1875652166284775e-06,7.484622751061124e-05,7.165866229398277e-05,-20.25,-20.5,-0.25,0.00022220611572265625,5.811452865600586e-07,-0.0002216249704360962
2672_3,cap,safe,1.5,3.1875652166284775e-06,7.484622751061124e-05,7.165866229398277e-05,-20.25,-20.5,-0.25,0.00022220611572265625,5.811452865600586e-07,-0.0002216249704360962
2672_3,cap,random,0.2,3.1875652166284775e-06,7.484622751061124e-05,7.165866229398277e-05,-20.25,-20.5,-0.25,0.00022220611572265625,5.811452865600586e-07,-0.0002216249704360962
2672_3,cap,random,0.4,3.1875652166284775e-06,7.484622751061124e-05,7.165866229398277e-05,-20.25,-20.5,-0.25,0.00022220611572265625,5.811452865600586e-07,-0.0002216249704360962
2672_3,cap,random,0.6,3.1875652166284775e-06,7.484622751061124e-05,7.165866229398277e-05,-20.25,-20.5,-0.25,0.00022220611572265625,5.811452865600586e-07,-0.0002216249704360962
2672_3,cap,random,0.8,3.1875652166284775e-06,7.484622751061124e-05,7.165866229398277e-05,-20.25,-20.5,-0.25,0.00022220611572265625,5.811452865600586e-07,-0.0002216249704360962
2672_3,cap,random,1.0,3.1875652166284775e-06,7.484622751061124e-05,7.165866229398277e-05,-20.25,-20.5,-0.25,0.00022220611572265625,5.811452865600586e-07,-0.0002216249704360962
2672_3,cap,random,1.2,3.1875652166284775e-06,7.484622751061124e-05,7.165866229398277e-05,-20.25,-20.5,-0.25,0.00022220611572265625,5.811452865600586e-07,-0.0002216249704360962
2672_3,cap,random,1.4,3.1875652166284775e-06,7.484622751061124e-05,7.165866229398277e-05,-20.25,-20.5,-0.25,0.00022220611572265625,5.811452865600586e-07,-0.0002216249704360962
