id,condition,alpha,prob_inc_base,prob_inc_clamp,delta_prob_inc,logprob_inc_base,logprob_inc_clamp,delta_logprob_inc,innov_mass_base,innov_mass_clamp,delta_mass
1_1,safe,0.5,9.223470110117275e-06,5.1442213742208984e-05,4.221874363209171e-05,-18.875,-20.625,-1.75,0.000247955322265625,1.8189894035458565e-09,-0.00024795350327622145
1_1,safe,1.0,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,safe,1.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,random,0.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,random,1.0,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,random,1.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,neutral,0.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,neutral,1.0,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_1,neutral,1.5,9.223470110117275e-06,0.00016865275398914432,0.00015942928387902705,-18.875,-18.375,0.5,0.000247955322265625,3.129243850708008e-07,-0.0002476423978805542
1_2,safe,0.5,6.540437226933636e-06,0.0005884088185569387,0.000581868381330005,-21.0,-22.0,-1.0,0.0003681182861328125,7.334165275096893e-09,-0.0003681109519675374
1_2,safe,1.0,6.540437226933636e-06,0.0006263341581094201,0.0006197937208824864,-21.0,-19.625,1.375,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,safe,1.5,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,random,0.5,6.540437226933636e-06,0.0008559006367452269,0.0008493601995182932,-21.0,-19.0,2.0,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,random,1.0,6.540437226933636e-06,0.0008559006367452269,0.0008493601995182932,-21.0,-19.0,2.0,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,random,1.5,6.540437226933636e-06,0.0008559006367452269,0.0008493601995182932,-21.0,-19.0,2.0,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,neutral,0.5,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,neutral,1.0,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_2,neutral,1.5,6.540437226933636e-06,0.0006667023092435894,0.0006601618720166558,-21.0,-19.5,1.5,0.0003681182861328125,8.419156074523926e-07,-0.0003672763705253601
1_3,safe,0.5,1.5903378336002657e-06,6.144174602214718e-06,4.553836768614453e-06,-13.9375,-17.375,-3.4375,0.00064849853515625,5.73345459997654e-09,-0.00064849280170165
1_3,safe,1.0,1.5903378336002657e-06,0.00012731104162213555,0.00012572070378853527,-13.9375,-13.25,0.6875,0.00064849853515625,5.140900611877441e-07,-0.0006479844450950623
1_3,safe,1.5,1.5903378336002657e-06,0.00018522574326531078,0.0001836354054317105,-13.9375,-12.6875,1.25,0.00064849853515625,5.140900611877441e-07,-0.0006479844450950623
1_3,random,0.5,1.5903378336002657e-06,0.00018522574326531078,0.0001836354054317105,-13.9375,-12.6875,1.25,0.00064849853515625,5.140900611877441e-07,-0.0006479844450950623
1_3,random,1.0,1.5903378336002657e-06,0.00018522574326531078,0.0001836354054317105,-13.9375,-12.6875,1.25,0.00064849853515625,5.140900611877441e-07,-0.0006479844450950623
1_3,random,1.5,1.5903378336002657e-06,0.00018522574326531078,0.0001836354054317105,-13.9375,-12.6875,1.25,0.00064849853515625,5.140900611877441e-07,-0.0006479844450950623
1_3,neutral,0.5,1.5903378336002657e-06,0.00018522574326531078,0.0001836354054317105,-13.9375,-12.6875,1.25,0.00064849853515625,5.140900611877441e-07,-0.0006479844450950623
1_3,neutral,1.0,1.5903378336002657e-06,0.00018522574326531078,0.0001836354054317105,-13.9375,-12.6875,1.25,0.00064849853515625,5.140900611877441e-07,-0.0006479844450950623
1_3,neutral,1.5,1.5903378336002657e-06,0.00018522574326531078,0.0001836354054317105,-13.9375,-12.6875,1.25,0.00064849853515625,5.140900611877441e-07,-0.0006479844450950623
1_4,safe,0.5,1.670142184809518e-05,0.0019267346633274755,0.0019100332414793803,-16.0,-21.125,-5.125,0.0010223388671875,5.192123353481293e-08,-0.0010222869459539652
1_4,safe,1.0,1.670142184809518e-05,0.0018102110262026487,0.0017935096043545536,-16.0,-18.5,-2.5,0.0010223388671875,2.637505531311035e-06,-0.001019701361656189
1_4,safe,1.5,1.670142184809518e-05,0.0018102110262026487,0.0017935096043545536,-16.0,-18.5,-2.5,0.0010223388671875,2.637505531311035e-06,-0.001019701361656189
