layer,layer_stage,feature_count,mean_faithfulness,median_faithfulness,max_faithfulness,mean_accuracy,count_high_faithfulness
20,mid,9,0.8888888888888888,0.8333333333333333,1.0,0.8888888888888888,8
24,mid,8,0.5625,0.5833333333333333,0.6666666666666666,0.5625,0
