layer,primary_ranking_family,feature_count,mean_faithfulness,max_faithfulness,mean_accuracy
20,layer_unique,4,0.9583333333333333,1.0,0.9583333333333334
20,policy_specific,5,0.8333333333333333,1.0,0.8333333333333334
24,layer_unique,3,0.4444444444444444,0.5,0.4444444444444444
24,policy_specific,5,0.6333333333333333,0.6666666666666666,0.6333333333333333
