feature_id,delta,mean_safe,mean_innov,std_safe,std_innov,effect_size_d
11794,-0.49662426,0.0,0.49662426,0.0,7.1624317,-0.086880825
1713,-0.49684447,0.06806463,0.5649091,0.7424965,2.9990466,-0.20404972
7820,-0.49830574,0.0,0.49830574,0.0,6.3887577,-0.09773182
3385,-0.4985333,0.0,0.4985333,0.0,7.189967,-0.08688079
3101,-0.4987898,1.3548357,1.8536255,2.573202,3.251008,-0.16502346
12977,-0.49886018,0.598002,1.0968622,1.5812706,2.5067246,-0.22513115
15088,-0.49999216,0.0,0.49999216,0.0,7.2109895,-0.086881004
7081,-0.50053275,0.0,0.50053275,0.0,7.218801,-0.086880825
5627,-0.50146365,0.0,0.50146365,0.0,7.2322283,-0.0868808
13663,-0.50281847,0.0,0.50281847,0.0,7.2517548,-0.08688096
725,-0.5031836,0.0,0.5031836,0.0,5.6332393,-0.1119244
4029,-0.50376284,0.28365302,0.78741586,1.6694435,4.7745166,-0.12782724
10259,-0.50392497,1.0941699,1.5980948,2.078131,3.604411,-0.16062291
9308,-0.5042206,0.0,0.5042206,0.0,7.271962,-0.08688114
4351,-0.504911,0.0,0.504911,0.0,7.2819276,-0.086881034
10092,-0.5065273,1.8127197,2.319247,3.3602989,3.6161854,-0.14367828
9765,-0.50736874,0.0,0.50736874,0.0,7.3173895,-0.08688085
7903,-0.5076368,0.0,0.5076368,0.0,5.167197,-0.12309901
10284,-0.5089394,0.0,0.5089394,0.0,6.835887,-0.093288414
12353,-0.50923204,0.0,0.50923204,0.0,7.3442645,-0.08688082
3351,-0.5098113,0.0,0.5098113,0.0,7.0037956,-0.09120791
2240,-0.51346743,0.0,0.51346743,0.0,6.943512,-0.092659555
8552,-0.5137926,0.0,0.5137926,0.0,7.4100113,-0.08688112
4916,-0.51534224,1.2799771,1.7953193,2.431283,3.5002532,-0.16337748
14768,-0.51563,1.2082889,1.7239189,2.2950633,3.5925937,-0.16198263
3482,-0.51692265,0.043879017,0.5608017,0.47866297,2.8249938,-0.22742571
3995,-0.5176084,1.5791976,2.096806,2.9993317,3.41015,-0.15843683
3564,-0.518419,1.3041207,1.8225397,2.4177773,2.77003,-0.19581014
10653,-0.5196794,1.3347905,1.8544699,2.5351927,3.4019248,-0.16681826
16199,-0.51993155,1.1431289,1.6630604,2.1712294,3.7372017,-0.15964054
1385,-0.521259,0.0,0.521259,0.0,6.780096,-0.09633281
3878,-0.5227585,1.2463453,1.7691038,2.3671548,3.5619218,-0.16436589
158,-0.5235611,1.7643527,2.2879138,3.3510156,3.644661,-0.14786263
6284,-0.5256392,1.0297892,1.5554284,1.9558638,3.5191586,-0.17257857
