feature_id,delta,mean_safe,mean_innov,std_safe,std_innov,effect_size_d,p_value,q_value,fdr_reject
7008,1.2975249,1.5315382,0.2340133,5.715752,1.6518728,0.37175423,9.999000099990002e-05,0.06825984068259841,False
9450,1.220501,6.046053,4.825552,10.776928,10.267361,0.11700781,0.020497950204979503,0.9824400038394936,False
2560,1.0480233,1.4136528,0.36562946,6.167037,2.6091712,0.25671476,9.999000099990002e-05,0.06825984068259841,False
5768,0.8032967,2.7214177,1.918121,5.8282676,4.845566,0.15519556,0.0018998100189981002,0.42639023768855994,False
2889,0.7464137,6.5115495,5.765136,9.291663,8.315702,0.08643283,0.08869113088691132,0.9824400038394936,False
8962,0.7156234,1.0808966,0.36527324,3.4758182,2.0341132,0.27759686,9.999000099990002e-05,0.06825984068259841,False
6475,0.67179954,1.2277815,0.555982,5.1253815,2.8714476,0.17995748,0.0006999300069993001,0.23890944238909442,False
14077,0.57966614,0.9885647,0.4088986,4.801092,3.2643685,0.15186483,0.0023997600239976003,0.4737068461828516,False
8885,0.56075156,0.9745183,0.4137667,3.316839,2.17032,0.21669231,9.999000099990002e-05,0.06825984068259841,False
4415,0.5601115,6.676168,6.1160564,6.6541657,5.496394,0.09515046,0.06109389061093891,0.9824400038394936,False
13052,0.54561305,0.7079221,0.16230907,2.882299,1.461705,0.2699541,9.999000099990002e-05,0.06825984068259841,False
4218,0.5049319,0.5526309,0.04769899,3.2993977,0.64510286,0.26173103,9.999000099990002e-05,0.06825984068259841,False
13529,0.48486125,2.239308,1.7544469,3.7634764,3.3646078,0.13871159,0.0053994600539946005,0.8042250320422503,False
7443,0.45447832,0.64700156,0.19252323,2.9430547,1.2871957,0.23106992,0.00019998000199980003,0.10921574509215745,False
10026,0.42572758,0.7381064,0.31237885,3.121596,2.9465487,0.14177126,0.004199580041995801,0.6615953789236462,False
6267,0.39598024,1.2625943,0.8666141,4.682628,3.585794,0.09986865,0.046495350464953504,0.9824400038394936,False
3847,0.38018942,6.486385,6.1061954,7.1087074,7.432383,0.051855333,0.30596940305969406,0.9824400038394936,False
6678,0.36216182,0.5390355,0.17687367,4.789309,2.7269013,0.10313735,0.0332966703329667,0.9824400038394936,False
10376,0.35586452,0.9086639,0.5527994,2.8569639,2.1444454,0.14874524,0.003999600039996,0.6488064064880641,False
4591,0.34734145,0.7342714,0.38692996,2.7922835,1.8963156,0.1565563,0.0020997900209979003,0.4587061293870613,False
2123,0.3428241,0.42314756,0.08032345,2.2648606,0.8595286,0.23516972,9.999000099990002e-05,0.06825984068259841,False
8707,0.3410764,0.75226814,0.41119173,3.4885802,2.5715117,0.1179119,0.021597840215978402,0.9824400038394936,False
9673,0.3121665,0.40320054,0.09103402,2.1933663,0.82492065,0.22159111,9.999000099990002e-05,0.06825984068259841,False
6254,0.30314404,0.9890354,0.6858914,4.609807,4.024309,0.071869865,0.16228377162283772,0.9824400038394936,False
15448,0.30059773,0.4483029,0.14770518,1.9971119,1.2368284,0.19794871,0.00029997000299970003,0.14455025085726722,False
8709,0.2984845,0.35616264,0.05767813,2.105692,0.69092184,0.227158,9.999000099990002e-05,0.06825984068259841,False
11219,0.2963248,0.52423173,0.22790693,3.1728597,1.9896343,0.12212698,0.015298470152984701,0.9824400038394936,False
14614,0.2787025,0.52146393,0.24276143,2.3628666,1.6219441,0.14765236,0.0025997400259974,0.501107536305193,False
14580,0.27848235,0.39810982,0.11962747,1.9340011,1.5098726,0.16821015,0.0005999400059994001,0.20913653315519512,False
3062,0.26217782,0.8042279,0.54205006,5.6668754,4.535656,0.053277478,0.300969903009699,0.9824400038394936,False
9958,0.257322,0.3270632,0.06974119,1.9269886,0.93027526,0.19371222,0.00039996000399960006,0.1598279196470597,False
4292,0.25700808,1.8405477,1.5835396,4.605109,4.664968,0.05531633,0.27617238276172384,0.9824400038394936,False
15619,0.2560308,1.405758,1.1497272,2.7887802,2.4107857,0.10094963,0.046795320467953205,0.9824400038394936,False
7773,0.25200135,0.36581233,0.11381097,1.8070377,0.93357766,0.19754215,0.00019998000199980003,0.10921574509215745,False
14151,0.25066328,0.2638233,0.013160021,2.3652554,0.33558375,0.18462116,9.999000099990002e-05,0.06825984068259841,False
8811,0.24896574,6.791991,6.5430255,9.053091,8.705661,0.028237542,0.5842415758424158,1.0,False
5912,0.23955186,0.28485548,0.045303628,1.5116016,0.5845204,0.24510303,9.999000099990002e-05,0.06825984068259841,False
10735,0.2392077,0.2959759,0.056768194,2.366349,0.7111243,0.1645214,0.0005999400059994001,0.20913653315519512,False
9710,0.23876518,0.28485748,0.046092305,1.7945457,0.6286752,0.21044762,9.999000099990002e-05,0.06825984068259841,False
10041,0.23807004,0.58234054,0.3442705,3.6204998,3.053365,0.07340685,0.14408559144085592,0.9824400038394936,False
7889,0.23756899,0.31380945,0.076240465,3.0781357,1.3958952,0.11423646,0.017598240175982403,0.9824400038394936,False
6403,0.23676348,1.3652444,1.1284809,3.1785812,2.9126618,0.07894303,0.11608839116088392,0.9824400038394936,False
13161,0.23474555,0.41304109,0.17829554,2.6558325,1.2507478,0.1292733,0.006999300069993001,0.8959104089591041,False
11344,0.23198566,0.3408239,0.10883823,2.258162,1.1866378,0.14460936,0.0036996300369963003,0.6061473852614738,False
1811,0.22945875,0.82858354,0.5991248,2.1380987,1.8105515,0.1195089,0.019498050194980503,0.9824400038394936,False
440,0.2286512,0.5116114,0.2829602,2.2194061,1.657054,0.1233863,0.0156984301569843,0.9824400038394936,False
13845,0.22764575,1.123853,0.8962072,2.4173539,2.1634474,0.10132381,0.0433956604339566,0.9824400038394936,False
10629,0.22201674,0.2525388,0.030522067,1.9091191,0.50108045,0.19305341,0.00029997000299970003,0.14455025085726722,False
8172,0.22107768,3.9444144,3.7233367,6.502109,6.0968614,0.035499316,0.47865213478652135,0.9824400038394936,False
13779,0.21641262,0.45319155,0.23677893,4.8838725,3.1926684,0.05682152,0.2526747325267473,0.9824400038394936,False
2623,0.21223426,0.25585338,0.04361913,3.1431136,0.7533566,0.11332244,0.021097890210978902,0.9824400038394936,False
10547,0.20541641,0.41576186,0.21034545,2.8447025,2.168853,0.08548821,0.0948905109489051,0.9824400038394936,False
12719,0.19714743,0.26872393,0.071576506,1.6001529,0.79023826,0.17734882,0.0004999500049995,0.19049257864911182,False
4346,0.19338185,0.21505557,0.021673718,2.8551848,0.7607522,0.11221378,0.014498550144985502,0.9824400038394936,False
2112,0.19158742,0.32929596,0.13770854,1.6497556,0.9841528,0.15529189,0.001999800019998,0.4427665341573951,False
4598,0.1912756,1.5463847,1.3551091,3.0396788,2.9162955,0.06471178,0.20027997200279973,0.9824400038394936,False
10111,0.19024517,0.21449628,0.024251115,2.8193066,0.49106193,0.116328195,0.0254974502549745,0.9824400038394936,False
8269,0.1894454,0.22779222,0.038346805,1.8535298,0.56348383,0.16602811,0.0010998900109989002,0.3217963917893925,False
9867,0.18794426,0.4886464,0.30070212,2.220769,1.6375704,0.1020459,0.0400959904009599,0.9824400038394936,False
15958,0.18743756,0.30834985,0.120912276,1.7007947,1.217278,0.13501702,0.007899210078992101,0.9497021312361518,False
3558,0.18666607,0.5389647,0.35229862,1.7570429,1.4012913,0.12259544,0.015298470152984701,0.9824400038394936,False
12415,0.18544143,0.28675148,0.101310045,1.607771,0.8756152,0.16015087,0.0011998800119988001,0.3276472352764724,False
8428,0.18425813,0.20695965,0.022701524,2.3900821,0.40881073,0.13304721,0.0013998600139986002,0.34750464347504645,False
2870,0.18335167,0.24105212,0.057700455,3.013236,1.541549,0.08650216,0.06379362063793621,0.9824400038394936,False
377,0.18187863,0.21914405,0.037265424,1.5200025,0.5574757,0.18738192,0.00029997000299970003,0.14455025085726722,False
894,0.18115878,0.81901914,0.63786036,4.8689775,4.277852,0.04050109,0.42795720427957207,0.9824400038394936,False
16202,0.17607257,0.218411,0.04233843,1.6569707,0.6777322,0.16200867,0.0013998600139986002,0.34750464347504645,False
3624,0.17528892,3.1038477,2.9285588,5.2856197,4.9526935,0.03464088,0.48535146485351466,0.9824400038394936,False
4612,0.17413568,1.025298,0.8511623,2.387892,2.1977713,0.077067316,0.12738726127387262,0.9824400038394936,False
8360,0.17173827,0.20226608,0.030527808,2.8241324,0.6181633,0.10300807,0.034596540345965404,0.9824400038394936,False
12268,0.16872256,0.20519185,0.0364693,2.9534822,0.5715455,0.09777666,0.037896210378962104,0.9824400038394936,False
1029,0.16335696,0.23237376,0.0690168,2.3092506,0.9363196,0.1081011,0.0263973602639736,0.9824400038394936,False
4929,0.15972003,0.26226866,0.10254863,1.3498044,0.85499656,0.15401424,0.0022997700229977,0.4737068461828516,False
7381,0.15937573,0.91080284,0.7514271,2.8997524,2.5901694,0.05920867,0.23717628237176283,0.9824400038394936,False
11289,0.15927541,1.6507674,1.491492,4.825839,4.802317,0.03311507,0.5231476852314768,0.9824400038394936,False
3252,0.1588651,1.6598109,1.5009458,2.8235095,2.5925026,0.059553556,0.23267673232676733,0.9824400038394936,False
8308,0.1584152,0.9572756,0.79886043,2.1821685,2.0926971,0.07467647,0.132986701329867,0.9824400038394936,False
14949,0.15791391,0.33624718,0.17833327,1.3478835,0.99774647,0.1409718,0.005699430056994301,0.8119953222069098,False
1395,0.15782773,0.25748736,0.099659614,1.6807631,0.92581326,0.12980218,0.0098990100989901,0.9824400038394936,False
12451,0.15766037,0.5598592,0.40219885,3.8904834,2.5389483,0.05200782,0.3016698330166983,0.9824400038394936,False
3219,0.1572529,0.16315134,0.0058984435,2.8455806,0.2070344,0.09778948,0.1014898510148985,0.9824400038394936,False
1592,0.15534073,0.30449998,0.14915925,2.4479735,1.2409815,0.09050672,0.0725927407259274,0.9824400038394936,False
14597,0.15430999,2.0231597,1.8688498,5.238785,5.3584948,0.029000243,0.5606439356064393,0.9881917985726201,False
3529,0.15379933,0.16085401,0.007054688,1.6377702,0.24761997,0.16313343,9.999000099990002e-05,0.06825984068259841,False
14671,0.15371194,0.23844856,0.08473661,1.3724817,0.83377427,0.14856881,0.0046995300469953,0.7195990681305701,False
13931,0.1531978,0.29610974,0.14291194,3.7399344,2.3920658,0.053074997,0.30586941305869414,0.9824400038394936,False
4488,0.15203403,0.38101324,0.22897922,2.583228,2.1981177,0.06534586,0.19808019198080193,0.9824400038394936,False
11645,0.15164793,1.0371993,0.88555133,2.7572923,2.8559797,0.053677008,0.2863713628637136,0.9824400038394936,False
974,0.15107416,0.22210224,0.07102808,1.4811997,1.0339528,0.12659056,0.0103989601039896,0.9824400038394936,False
13855,0.1490351,0.47472373,0.32568863,3.307491,2.3454826,0.05547165,0.2743725627437256,0.9824400038394936,False
11745,0.14799525,0.30322966,0.15523441,1.8297532,1.1681032,0.104891874,0.0364963503649635,0.9824400038394936,False
1446,0.14664339,0.14664339,0.0,1.5032278,0.0,0.17361175,0.00039996000399960006,0.1598279196470597,False
5135,0.14372203,0.15265332,0.0089313015,1.3217287,0.31348735,0.18270145,9.999000099990002e-05,0.06825984068259841,False
13222,0.14290285,0.15955861,0.016655752,2.0347292,0.413237,0.119752266,0.0156984301569843,0.9824400038394936,False
10874,0.14277366,0.20344034,0.06066668,3.4438906,1.1500565,0.066211656,0.20717928207179281,0.9824400038394936,False
14428,0.13692284,0.21544375,0.07852092,2.9061189,1.0769211,0.07360909,0.1491850814918508,0.9824400038394936,False
5588,0.13625917,0.1809479,0.044688724,1.6713333,0.77200687,0.11998024,0.012098790120987902,0.9824400038394936,False
1204,0.13480783,0.3620841,0.22727627,1.8773563,1.7990005,0.07390361,0.1478852114788521,0.9824400038394936,False
13288,0.13469091,0.22717808,0.09248718,1.8989452,0.88914317,0.103932075,0.036196380361963806,0.9824400038394936,False
16108,0.13403171,0.3941721,0.2601404,3.0261486,2.3183846,0.05229388,0.3063693630636936,0.9824400038394936,False
