feature_id,delta,mean_safe,mean_innov,std_safe,std_innov,effect_size_d,p_value,q_value,fdr_reject
15,0.013706259,0.13067862,0.116972364,0.12467691,0.120642014,0.11241053,0.024997500249975,0.04323891935130811,True
27,0.0125106275,0.11928035,0.106769726,0.11380227,0.11011966,0.11240906,0.024997500249975,0.04323891935130811,True
10,0.0122557655,0.116850466,0.1045947,0.111484125,0.10787565,0.11240948,0.024997500249975,0.04323891935130811,True
54,0.010686144,0.10188431,0.09119817,0.09720512,0.09405908,0.11241043,0.024997500249975,0.04323891935130811,True
40,0.010686137,0.101885006,0.09119887,0.097205795,0.09405994,0.11240941,0.024997500249975,0.04323891935130811,True
8,0.008559018,0.08160409,0.073045075,0.07785633,0.075336896,0.11240958,0.024997500249975,0.04323891935130811,True
12,0.008337483,0.07949221,0.07115473,0.07584144,0.073387064,0.11240929,0.024997500249975,0.04323891935130811,True
25,0.007994607,0.07622329,0.068228684,0.07272264,0.070369326,0.11240892,0.024997500249975,0.04323891935130811,True
52,0.0071442723,0.068115935,0.060971662,0.06498761,0.06288452,0.11240901,0.024997500249975,0.04323891935130811,True
14,0.006490357,0.061881267,0.05539091,0.05903919,0.057128776,0.11240897,0.024997500249975,0.04323891935130811,True
58,0.006313652,0.060196586,0.053882934,0.057431918,0.05557348,0.112408794,0.024997500249975,0.04323891935130811,True
30,0.0063121356,0.060181897,0.05386976,0.05741787,0.055559874,0.11240931,0.024997500249975,0.04323891935130811,True
22,0.006246764,0.05955862,0.053311855,0.05682326,0.054984465,0.112409286,0.024997500249975,0.04323891935130811,True
31,0.006218031,0.05928473,0.0530667,0.056561947,0.05473127,0.112409644,0.024997500249975,0.04323891935130811,True
3,0.0060919262,0.05808206,0.051990133,0.055414468,0.053621102,0.112410165,0.024997500249975,0.04323891935130811,True
4,0.005859174,0.055862945,0.05000377,0.0532973,0.051572382,0.11241019,0.024997500249975,0.04323891935130811,True
36,0.00579641,0.055265076,0.049468666,0.052726965,0.051020496,0.11240894,0.024997500249975,0.04323891935130811,True
13,0.00578304,0.055137493,0.049354453,0.052605297,0.050902836,0.11240895,0.024997500249975,0.04323891935130811,True
37,0.005610071,0.05348819,0.04787812,0.05103169,0.049380224,0.11240928,0.024997500249975,0.04323891935130811,True
2,0.0047265626,0.045064617,0.040338054,0.042995002,0.041603666,0.112408936,0.024997500249975,0.04323891935130811,True
23,0.0047265477,0.045064542,0.040337995,0.042994857,0.04160361,0.1124088,0.024997500249975,0.04323891935130811,True
55,0.0038579665,0.03678291,0.032924943,0.0350936,0.03395791,0.11240983,0.024997500249975,0.04323891935130811,True
63,0.0037808828,0.036048032,0.03226715,0.03439246,0.033279467,0.11240967,0.024997500249975,0.04323891935130811,True
16,0.0036727004,0.035016563,0.031343862,0.0334084,0.032327194,0.11240978,0.024997500249975,0.04323891935130811,True
45,0.0035098586,0.033464193,0.029954335,0.031927288,0.03089414,0.1124089,0.024997500249975,0.04323891935130811,True
9,0.0032453537,0.030942155,0.027696801,0.029521119,0.028565696,0.11240967,0.024997500249975,0.04323891935130811,True
26,0.0022860244,0.02179576,0.019509736,0.020794727,0.020121833,0.11240887,0.024997500249975,0.04323891935130811,True
51,0.0022551585,0.021501275,0.019246116,0.020513823,0.019849913,0.112409994,0.024997500249975,0.04323891935130811,True
61,0.0020062495,0.019128142,0.017121892,0.018249623,0.0176591,0.11240968,0.024997500249975,0.04323891935130811,True
