id,baseline_logprob,ablated_logprob,effect,random_ablated_logprob,random_effect
2666_18,-15.4375,-12.6875,-2.75,-12.5625,-2.875
2670_5,-1.46875,-1.5703125,0.1015625,-1.6796875,0.2109375
301_1,-6.5,-4.875,-1.625,-4.90625,-1.59375
301_2,-7.5625,-8.25,0.6875,-7.84375,0.28125
301_3,-13.75,-9.4375,-4.3125,-10.1875,-3.5625
356_6,-3.09375,-1.8828125,-1.2109375,-1.4375,-1.65625
37_1,-1.0859375,-2.46875,1.3828125,-1.734375,0.6484375
37_2,-9.5,-11.75,2.25,-12.25,2.75
37_3,-6.78125,-1.921875,-4.859375,-2.71875,-4.0625
37_4,-3.59375,-2.0,-1.59375,-2.890625,-0.703125
37_5,-3.078125,-2.578125,-0.5,-2.828125,-0.25
37_6,-2.640625,-1.5390625,-1.1015625,-1.625,-1.015625
37_7,-2.203125,-2.8125,0.609375,-2.859375,0.65625
37_8,-5.1875,-2.171875,-3.015625,-2.296875,-2.890625
37_9,-9.375,-6.46875,-2.90625,-9.0,-0.375
37_10,-4.28125,-4.0,-0.28125,-3.953125,-0.328125
37_11,-2.4375,-1.203125,-1.234375,-1.6484375,-0.7890625
37_13,-4.25,-5.15625,0.90625,-5.875,1.625
37_15,-5.21875,-5.03125,-0.1875,-4.625,-0.59375
37_17,-4.90625,-2.796875,-2.109375,-3.34375,-1.5625
37_18,-1.8515625,-3.578125,1.7265625,-3.859375,2.0078125
37_19,-1.03125,-1.5546875,0.5234375,-1.625,0.59375
37_20,-17.5,-12.4375,-5.0625,-14.625,-2.875
420_4,-2.6875,-2.78125,0.09375,-2.453125,-0.234375
420_5,-7.625,-6.03125,-1.59375,-6.21875,-1.40625
457_16,-3.90625,-3.0625,-0.84375,-3.25,-0.65625
532_2,-5.5625,-8.25,2.6875,-6.90625,1.34375
532_3,-13.3125,-14.0,0.6875,-13.3125,0.0
532_4,-8.625,-9.3125,0.6875,-9.5625,0.9375
532_5,-3.5,-2.765625,-0.734375,-3.296875,-0.203125
532_6,-2.96875,-3.234375,0.265625,-3.796875,0.828125
532_7,-4.84375,-5.84375,1.0,-4.84375,0.0
532_8,-5.6875,-4.40625,-1.28125,-4.1875,-1.5
532_9,-6.53125,-7.1875,0.65625,-7.28125,0.75
532_10,-7.1875,-7.59375,0.40625,-7.125,-0.0625
532_11,-3.421875,-2.78125,-0.640625,-3.046875,-0.375
532_12,-2.59375,-1.0,-1.59375,-0.41015625,-2.18359375
532_13,-5.34375,-4.5625,-0.78125,-5.0,-0.34375
532_14,-1.875,-1.109375,-0.765625,-1.328125,-0.546875
72_1,-19.0,-16.375,-2.625,-16.625,-2.375
72_2,-1.1171875,-1.203125,0.0859375,-0.94140625,-0.17578125
72_3,-2.765625,-1.5078125,-1.2578125,-1.546875,-1.21875
72_4,-1.53125,-0.98046875,-0.55078125,-0.7890625,-0.7421875
72_5,-6.15625,-9.6875,3.53125,-9.0,2.84375
73_1,-23.25,-20.625,-2.625,-20.5,-2.75
73_2,-0.64453125,-0.97265625,0.328125,-0.9609375,0.31640625
73_3,-1.75,-2.1875,0.4375,-1.640625,-0.109375
73_4,-0.84765625,-0.7109375,-0.13671875,-0.7890625,-0.05859375
73_5,-2.34375,-1.8046875,-0.5390625,-1.9765625,-0.3671875
768_4,-2.46875,-1.9609375,-0.5078125,-1.9609375,-0.5078125
768_6,-5.0625,-2.5625,-2.5,-3.515625,-1.546875
768_9,-7.21875,-6.59375,-0.625,-7.15625,-0.0625
768_10,-4.21875,-1.875,-2.34375,-1.8359375,-2.3828125
768_11,-3.53125,-5.03125,1.5,-3.203125,-0.328125
768_13,-13.75,-12.9375,-0.8125,-12.875,-0.875
768_14,-11.1875,-6.71875,-4.46875,-7.4375,-3.75
768_17,-1.9140625,-1.9921875,0.078125,-1.5078125,-0.40625
768_18,-0.71875,-1.5390625,0.8203125,-1.015625,0.296875
768_26,-11.3125,-8.375,-2.9375,-8.5625,-2.75
793_2,-6.9375,-4.78125,-2.15625,-4.5625,-2.375
793_3,-13.25,-11.625,-1.625,-12.3125,-0.9375
826_7,-5.21875,-4.90625,-0.3125,-4.96875,-0.25
826_8,-6.375,-5.40625,-0.96875,-7.15625,0.78125
891_2,-5.15625,-1.09375,-4.0625,-1.7734375,-3.3828125
988_3,-16.625,-13.25,-3.375,-13.5625,-3.0625
988_6,-15.1875,-11.5,-3.6875,-11.375,-3.8125
