id,baseline_logprob,ablated_logprob,effect,random_ablated_logprob,random_effect
1032_2,-8.125,-8.1875,0.0625,-8.4375,0.3125
1032_8,-11.625,-9.375,-2.25,-7.6875,-3.9375
1054_1,-6.59375,-5.0,-1.59375,-6.0625,-0.53125
1054_3,-18.625,-18.5,-0.125,-18.25,-0.375
1125_4,-9.0,-4.34375,-4.65625,-5.71875,-3.28125
1356_18,-15.4375,-11.375,-4.0625,-12.0625,-3.375
1356_19,-11.125,-5.46875,-5.65625,-7.4375,-3.6875
1356_20,-10.4375,-8.4375,-2.0,-8.875,-1.5625
1356_23,-8.6875,-10.1875,1.5,-9.5625,0.875
1356_24,-4.09375,-3.703125,-0.390625,-4.09375,0.0
1356_25,-3.234375,-3.625,0.390625,-3.171875,-0.0625
1356_26,-12.1875,-11.5625,-0.625,-11.5625,-0.625
1356_27,-8.8125,-7.15625,-1.65625,-7.28125,-1.53125
1356_32,-2.328125,-1.6796875,-0.6484375,-1.359375,-0.96875
1356_34,-8.3125,-6.21875,-2.09375,-6.0625,-2.25
1356_47,-9.0,-4.46875,-4.53125,-4.53125,-4.46875
1387_4,-9.1875,-8.625,-0.5625,-6.875,-2.3125
1387_5,-3.265625,-1.25,-2.015625,-1.734375,-1.53125
1387_8,-8.4375,-5.65625,-2.78125,-6.21875,-2.21875
1678_1,-4.65625,-4.34375,-0.3125,-4.09375,-0.5625
1678_2,-11.9375,-9.6875,-2.25,-11.1875,-0.75
1678_3,-8.5625,-7.78125,-0.78125,-8.25,-0.3125
1678_4,-5.4375,-4.03125,-1.40625,-4.40625,-1.03125
1678_5,-4.78125,-3.453125,-1.328125,-4.0625,-0.71875
1678_6,-7.4375,-8.875,1.4375,-8.5625,1.125
1678_8,-0.251953125,-0.2431640625,-0.0087890625,-0.322265625,0.0703125
177_1,-7.0625,-2.09375,-4.96875,-2.625,-4.4375
177_2,-5.28125,-2.578125,-2.703125,-3.390625,-1.890625
177_3,-0.61328125,-0.484375,-0.12890625,-0.55859375,-0.0546875
1808_1,-11.8125,-12.75,0.9375,-12.625,0.8125
1808_7,-16.625,-16.125,-0.5,-15.875,-0.75
1808_10,-13.8125,-13.875,0.0625,-13.3125,-0.5
1808_11,-13.125,-9.25,-3.875,-9.125,-4.0
1808_20,-9.5625,-6.28125,-3.28125,-6.6875,-2.875
1808_21,-13.375,-11.9375,-1.4375,-12.3125,-1.0625
1808_27,-17.0,-13.75,-3.25,-14.375,-2.625
1808_30,-11.5,-8.625,-2.875,-8.9375,-2.5625
1808_31,-4.96875,-4.4375,-0.53125,-4.40625,-0.5625
1808_37,-14.5625,-11.5,-3.0625,-11.875,-2.6875
2099_2,-10.625,-9.125,-1.5,-8.375,-2.25
2099_3,-5.25,-2.28125,-2.96875,-2.984375,-2.265625
2099_4,-9.5625,-9.5625,0.0,-9.9375,0.375
2099_7,-7.09375,-4.0625,-3.03125,-5.75,-1.34375
2099_9,-4.3125,-4.4375,0.125,-4.75,0.4375
2099_12,-4.375,-6.84375,2.46875,-6.1875,1.8125
2099_13,-10.625,-10.875,0.25,-11.0,0.375
2426_1,-11.0625,-12.3125,1.25,-13.5,2.4375
2426_9,-0.74609375,-1.1484375,0.40234375,-1.2578125,0.51171875
2426_10,-1.46875,-1.03125,-0.4375,-0.78125,-0.6875
2426_11,-3.703125,-4.1875,0.484375,-3.609375,-0.09375
2666_5,-6.90625,-5.40625,-1.5,-5.9375,-0.96875
2666_11,-2.875,-2.3125,-0.5625,-1.9296875,-0.9453125
2666_17,-12.875,-7.4375,-5.4375,-7.71875,-5.15625
