layer,k,mode,alpha,n,mean_delta_safe_minus_random,ci_low,ci_high,perm_p,sig,summary_json
24,16,cap,0.2,200,0.005903229103241551,0.0026847391802725744,0.009858003001991982,9.999000099990002e-05,***,results\interference\clamp_summary_layer24_train_k16_cap.json
24,16,cap,0.4,200,0.0018296536620905676,0.000512437122375904,0.003472153040719694,0.0047995200479952005,**,results\interference\clamp_summary_layer24_train_k16_cap.json
24,16,cap,0.6,200,0.0007374866836717508,0.00010931063676605263,0.001487930733058148,0.036196380361963806,*,results\interference\clamp_summary_layer24_train_k16_cap.json
24,16,cap,0.8,200,9.257641516756937e-05,-0.00014746002298606287,0.0003758160908926329,0.5294470552944706,ns,results\interference\clamp_summary_layer24_train_k16_cap.json
24,16,cap,1.0,200,-7.553960356685137e-05,-0.00016491516235187792,-6.556292480082612e-06,0.037896210378962104,*,results\interference\clamp_summary_layer24_train_k16_cap.json
24,16,cap,1.2,200,-1.5145083810357237e-05,-5.1167566851631674e-05,9.417436871944585e-06,0.49535046495350465,ns,results\interference\clamp_summary_layer24_train_k16_cap.json
24,16,cap,1.4,200,-1.2986353924060277e-05,-4.723285637770762e-05,6.8042249693172505e-06,0.6312368763123688,ns,results\interference\clamp_summary_layer24_train_k16_cap.json
24,16,cap,1.5,200,-1.5962163762644284e-05,-4.76555216103003e-05,1.1776146951644144e-06,0.28347165283471654,ns,results\interference\clamp_summary_layer24_train_k16_cap.json
24,16,scale,0.2,200,0.006373172094660524,0.002774360247778962,0.010618820168747172,9.999000099990002e-05,***,results\interference\clamp_summary_layer24_train_k16_scale.json
24,16,scale,0.4,200,0.0015455278545873233,0.0003017270878277647,0.0030905957477185488,0.019598040195980403,*,results\interference\clamp_summary_layer24_train_k16_scale.json
24,16,scale,0.6,200,0.0004745665049076903,-0.00011851517508781549,0.001227334633972877,0.17198280171982802,ns,results\interference\clamp_summary_layer24_train_k16_scale.json
24,16,scale,0.8,200,9.052363901090748e-05,-0.00016972876580290979,0.00047214962870557653,0.7062293770622937,ns,results\interference\clamp_summary_layer24_train_k16_scale.json
24,16,scale,1.0,200,0.0,0.0,0.0,1.0,ns,results\interference\clamp_summary_layer24_train_k16_scale.json
24,16,scale,1.2,200,-3.0639515261840664e-05,-0.00039604554551375443,0.00020779859273663758,0.9403059694030597,ns,results\interference\clamp_summary_layer24_train_k16_scale.json
24,16,scale,1.4,200,7.031080656014273e-05,-0.0003323869154317209,0.0003970692989721831,0.7253274672532747,ns,results\interference\clamp_summary_layer24_train_k16_scale.json
24,16,scale,1.5,200,8.784298668790022e-05,-0.0003617581727634682,0.00046286618931061014,0.7172282771722828,ns,results\interference\clamp_summary_layer24_train_k16_scale.json
24,32,cap,0.2,200,0.005759105817910484,0.0024619671294085262,0.009640357048638047,9.999000099990002e-05,***,results\interference\clamp_summary_layer24_train_k32_cap.json
24,32,cap,0.4,200,0.0016681005448876678,0.0003209843949985381,0.0033601148274929418,0.0211978802119788,*,results\interference\clamp_summary_layer24_train_k32_cap.json
24,32,cap,0.6,200,0.0005095725942266581,-0.0001210805622515718,0.0012393537852972017,0.15258474152584742,ns,results\interference\clamp_summary_layer24_train_k32_cap.json
24,32,cap,0.8,200,-0.00015593104607814441,-0.0003982388574520704,0.0001139924243491691,0.24587541245875413,ns,results\interference\clamp_summary_layer24_train_k32_cap.json
24,32,cap,1.0,200,-0.00011814363489848377,-0.00024138601844046843,5.723736289231949e-05,0.0888911108889111,ns,results\interference\clamp_summary_layer24_train_k32_cap.json
24,32,cap,1.2,200,-0.00016480930466011606,-0.00023375051492638386,-0.00010545129969137583,9.999000099990002e-05,***,results\interference\clamp_summary_layer24_train_k32_cap.json
24,32,cap,1.4,200,-0.0001340853067470436,-0.00019507015440316014,-8.118471871962574e-05,9.999000099990002e-05,***,results\interference\clamp_summary_layer24_train_k32_cap.json
24,32,cap,1.5,200,-0.0001388768949403434,-0.00020081841255741096,-8.235209760003317e-05,9.999000099990002e-05,***,results\interference\clamp_summary_layer24_train_k32_cap.json
24,32,scale,0.2,200,0.006491743933605605,0.0027454890435713785,0.010999559827072614,9.999000099990002e-05,***,results\interference\clamp_summary_layer24_train_k32_scale.json
24,32,scale,0.4,200,0.001506637880622711,0.0001558990716572778,0.003193110804309405,0.04279572042795721,*,results\interference\clamp_summary_layer24_train_k32_scale.json
24,32,scale,0.6,200,0.0003647166117897068,-0.00026335267607578906,0.0011432740046940048,0.35366463353664634,ns,results\interference\clamp_summary_layer24_train_k32_scale.json
24,32,scale,0.8,200,6.822463912736899e-05,-0.00017342750854737856,0.00035299904354252695,0.6240375962403759,ns,results\interference\clamp_summary_layer24_train_k32_scale.json
24,32,scale,1.0,200,0.0,0.0,0.0,1.0,ns,results\interference\clamp_summary_layer24_train_k32_scale.json
24,32,scale,1.2,200,2.0825335807616758e-05,-0.00031811977777258934,0.00024959069109759555,0.9338066193380662,ns,results\interference\clamp_summary_layer24_train_k32_scale.json
24,32,scale,1.4,200,0.0001991509246349006,-0.00020567658367971878,0.0005188639455766631,0.3114688531146885,ns,results\interference\clamp_summary_layer24_train_k32_scale.json
24,32,scale,1.5,200,0.0002128048975457868,-0.00026656618964787806,0.0006032716952015171,0.38236176382361764,ns,results\interference\clamp_summary_layer24_train_k32_scale.json
